hashed_maid,lat,lon,list_poi_name,list_unique_geo_behaviour,many_geo_behaviour
79d8f44399bbbd0981f9ad48eb8dbd867876c944e9af7488a026a0aefd0c6e11,-6.2352,106.9922,[],[],[]
29d7c3541557e77bb970672cdcb90652265293ce37f1fc320884b57ff544582f,-6.2114,106.8446,"['Parisadha Buddha Dharma', 'Field Force', 'Bank Mandiri Tbk PT Persero', 'STAB Samantha Badra - NSI']","['Beer Enthusiasts', 'In-Market Academic Services', 'Job Seekers', 'Working Parents', 'In-Market Travel', 'In-Market Personal Loans', 'Home Movers']","['Home Movers', 'In-Market Academic Services', 'In-Market Travel', 'Job Seekers', 'Working Parents']"
010a6f31c9a3c8ba36359093fb032e6336ab94c7a745dbd504d2edb36427f3de,-6.2352,106.9922,[],[],[]
e4fa702136dd0cc499d77fb65ca5970445367bc5c2cac20445c2d0493568fb82,-6.9217,107.6071,"['Bri 1', 'Parkir Basement', 'Rollink', 'Washita Karya PT', 'Bank Mandiri Tbk PT Persero Asia Afrika Utara', 'Bank Rakyat Indonesia', 'Bank Rakyat Indonesia PT Persero Asia Afrika', 'Boseh registration booth', 'Ewka Music', 'Masjid Agung Raya Bandung', 'Alun- Alun Bandung', 'Alun-alun Selatan', 'Alun-alun utara']","['In-market Furniture Buyer', 'Auto Modification Enthusiasts', 'Parents', 'Frequent Gym Goers', 'In-Market Insurance Buyers', 'Affluent Consumers', 'Health Enthusiasts', 'Working Parents', 'In-Market Travel', 'In-market Property Buyers', 'Leisure Travellers', 'Home Movers', 'In-Market Academic Services', 'Job Seekers', 'Frequent Mall Shoppers', 'Frequent Local Mass Transit Traveler', 'In-Market Personal Loans', 'Tour Enthusiasts', 'Sports Enthusiasts', 'Frequent Luxury Shopper', 'New Home Buyer', 'Tourist Diners']","['Home Movers', 'In-Market Travel', 'In-Market Academic Services', 'Job Seekers', 'New Home Buyer']"
c270622ad18309ed36a51658ab557e68f5ec5d7136c1cc5a989ffa9c4d45929f,-7.8035,110.3646,"['Kopi Walik', 'Martabak Internasional', 'Alun- Alun Utara']","['Beer Enthusiasts', 'In-Market Academic Services', 'Parents', 'Health Enthusiasts', 'Foodies', 'New Home Buyer', 'Frequent Pizza Restaurant Visitors', 'Frequent Fast Food Diners', 'Tourist Diners', 'Frequent Coffee Shop Visitors', 'Frequent Gym Goers', 'Home Movers', 'Sports Enthusiasts']","['Frequent Fast Food Diners', 'Foodies', 'Frequent Coffee Shop Visitors', 'Beer Enthusiasts', 'Frequent Pizza Restaurant Visitors']"
09d8485220d9fae28c43ae232dc1910eaab287a117c2ef3ad79562b6bf7fe418,-7.7053,110.0114,[],[],[]
a0619873e0f916fc4a83cc840de1bdf39154c60bc65f917cc353bbffae5fe9ac,-6.2114,106.8446,"['Parisadha Buddha Dharma', 'Field Force', 'Bank Mandiri Tbk PT Persero', 'STAB Samantha Badra - NSI']","['Beer Enthusiasts', 'In-Market Academic Services', 'Job Seekers', 'Working Parents', 'In-Market Travel', 'In-Market Personal Loans', 'Home Movers']","['Home Movers', 'In-Market Academic Services', 'In-Market Travel', 'Job Seekers', 'Working Parents']"
2bdb6105a6054da0c7b2f824fe44f0fe4689619e2ddf588b670adf0d06d1e903,-7.2484,112.7419,"['Gudeg Pecel Bu Suharti', 'Bu Har ( Depot Gudeg)', 'Ahass', 'Sukucadang Toko', 'Sumber Agung', 'Suku Caang Toko', 'Utama Cell', 'Depot Nasi Campur Pojok Tambak Bayan', 'Depot Tambak Bayan', 'MIS HIDAYATUL WATHON', 'BCA Kcp Jagalan']","['Auto Modification Enthusiasts', 'In-market Electronics Buyer', 'Tech Enthusiasts', 'Parents', 'Parents of School Children', 'Foodies', 'Frequent Fast Food Diners', 'Frequent Pizza Restaurant Visitors', 'In-Market Insurance Buyers', 'Working Parents', 'In-Market Travel', 'Home Movers', 'In-Market Academic Services', 'Job Seekers', 'Frequent Mall Shoppers', 'In-Market Personal Loans', 'New Home Buyer', 'Tourist Diners', 'College Students']","['Home Movers', 'New Home Buyer', 'Foodies', 'Tourist Diners', 'Frequent Fast Food Diners']"
b5973263e35ece4160423bbeebad31b2bbeb5f050f2cc25ebd390b8597be14cf,-1.261,116.8105,[],[],[]
9a1b1a0e89e54e8f68a99d21a221f6d4bebbef48b40dc6593c72a0f6cd9852e1,-6.9217,107.6071,"['Bri 1', 'Parkir Basement', 'Rollink', 'Washita Karya PT', 'Bank Mandiri Tbk PT Persero Asia Afrika Utara', 'Bank Rakyat Indonesia', 'Bank Rakyat Indonesia PT Persero Asia Afrika', 'Boseh registration booth', 'Ewka Music', 'Masjid Agung Raya Bandung', 'Alun- Alun Bandung', 'Alun-alun Selatan', 'Alun-alun utara']","['In-market Furniture Buyer', 'Auto Modification Enthusiasts', 'Parents', 'Frequent Gym Goers', 'In-Market Insurance Buyers', 'Affluent Consumers', 'Health Enthusiasts', 'Working Parents', 'In-Market Travel', 'In-market Property Buyers', 'Leisure Travellers', 'Home Movers', 'In-Market Academic Services', 'Job Seekers', 'Frequent Mall Shoppers', 'Frequent Local Mass Transit Traveler', 'In-Market Personal Loans', 'Tour Enthusiasts', 'Sports Enthusiasts', 'Frequent Luxury Shopper', 'New Home Buyer', 'Tourist Diners']","['Home Movers', 'In-Market Travel', 'In-Market Academic Services', 'Job Seekers', 'New Home Buyer']"
